hotel_name,n_comment,rank_in_country,url
拉瑪海灘度假村,"1,610 則評論","超值：第 28，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g562690-d320028-Reviews-Rama_Beach_Resort_and_Villas-Tuban_Kuta_Kuta_District_Bali.html
庫塔海景精品度假村,"1,633 則評論","超值：第 29，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1461739-Reviews-Kuta_Seaview_Boutique_Resort_Spa-Kuta_Kuta_District_Bali.html
巴厘維拉酒店,"1,036 則評論","超值：第 30，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d505558-Reviews-The_Vira_Bali_Boutique_Hotel_Suite-Kuta_Kuta_District_Bali.html
雅加達阿利拉酒店,"1,072 則評論","超值：第 31，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d301645-Reviews-Alila_Jakarta-Jakarta_Java.html
極樂維揚酒店,"1,355 則評論","超值：第 32，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d2545307-Reviews-Bliss_Surfer_Hotel-Legian_Kuta_District_Bali.html
普拉維塔瑪美術館酒店,"1,096 則評論","超值：第 33，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294230-d6224884-Reviews-Gallery_Prawirotaman_Hotel-Yogyakarta_Java.html
伊斯特帕克飯店,"1,176 則評論","超值：第 34，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g5074492-d5012360-Reviews-Eastparc_Hotel_Yogyakarta-Depok_Sleman_District_Yogyakarta_Java.html
日惹皇家酒店,"1,561 則評論","超值：第 35，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g5074492-d307833-Reviews-Royal_Ambarrukmo_Yogyakarta-Depok_Sleman_District_Yogyakarta_Java.html
阿迪達爾瑪酒店,"1,207 則評論","超值：第 36，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297697-d648131-Reviews-Adi_Dharma_Hotel-Kuta_Kuta_District_Bali.html
雷吉安季節酒店,"1,993 則評論","超值：第 37，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g608487-d578319-Reviews-All_Seasons_Legian_Bali-Legian_Kuta_District_Bali.html
雅加達-坦林阿特泰爾酒店,"1,233 則評論","超值：第 38，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g294229-d5992269-Reviews-ARTOTEL_Thamrin_Jakarta-Jakarta_Java.html
宜必思萬隆跨工作室酒店,"1,319 則評論","超值：第 39，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d2536080-Reviews-Hotel_ibis_Bandung_Trans_Studio-Bandung_West_Java_Java.html
水明漾峇里地平線飯店,"1,119 則評論","超值：第 40，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g469404-d3567390-Reviews-Horison_Seminyak_Bali-Seminyak_Kuta_District_Bali.html
Aston Braga Hotel & Residence,"1,185 則評論","超值：第 41，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g297704-d634748-Reviews-Aston_Braga_Hotel_Residence-Bandung_West_Java_Java.html
HARRIS Resort Batam Waterfront,"1,794 則評論","超值：第 42，共 1,013 名 - 印尼",https://www.tripadvisor.com.tw/Hotel_Review-g3477609-d307835-Reviews-HARRIS_Resort_Batam_Waterfront-Waterfront_City_Batam_Riau_Archipelago_Riau_Islands_Pro.html
